trial	condition	file	bytes	sha256_12
t01	-	doc.txt	5367	a07d1bee917e
t01	-	report.txt	704	df62edec03c5
t02	-	doc.txt	1456	1d39ec7fd4ea
t02	-	report.txt	363	f65a1ef377fe
t03	-	out.txt	744	f989f83298f2
t03	-	report.txt	458	bb8b26ebb7e3
t04	-	doc.txt	1402	fabe73b2b391
t04	-	report.txt	318	66488ce239c5
t05	-	doc.txt	3171	1ef3a6a3775e
t05	-	report.txt	867	a076eef1a84a
t06	-	doc.txt	7098	339067cad9aa
t06	-	report.txt	990	5c95dc775c0d
t07	-	out.txt	1028	2db4031cec8a
t07	-	report.txt	178	4c81849cc023
t08	-	doc.txt	2316	7e47d768adfc
t08	-	report.txt	502	baa3db2748d7
t09	-	doc.txt	5813	76980e0201e7
t09	-	report.txt	539	074ddf0241e8
t10	-	doc.txt	1924	6127619b337c
t10	-	report.txt	499	17fd1e96fbc9
t11	-	doc.txt	6714	585af2b248c7
t11	-	report.txt	750	543c306906c0
t12	-	doc.txt	6013	6daaf1f72deb
t12	-	report.txt	844	7bf479cd74f2
t13	-	out.txt	744	f989f83298f2
t13	-	report.txt	567	31a1c6cb458c
t14	-	out.txt	1028	2db4031cec8a
t14	-	report.txt	453	badb9d83d8f6
t15	-	doc.txt	1537	bef49fb73084
t15	-	report.txt	281	2e9453da14c7
t16	-	doc.txt	4150	cfe3571ede3e
t16	-	report.txt	506	7680ee82ea93
t17	-	doc.txt	4640	b8c79469bde0
t17	-	report.txt	620	9dbf1d47e8d8
t18	-	doc.txt	1788	9bc4eda7d667
t18	-	report.txt	349	ab57456eac91
t19	-	doc.txt	4587	76814482d061
t19	-	report.txt	749	45f438141f0c
